"group1","group2","weight"
"Nashville Skiing Meetup","Nashville Hiking Meetup",1
"Nashville Skiing Meetup","Stepping Out Social Dance Meetup",2
"Nashville Skiing Meetup","All Things Gardening",1
"Nashville Skiing Meetup","Ambrosia - Friends, Food and Fun",1
"Nashville Skiing Meetup","Fun Happenings Social Group-Nashvilles Most Fun Social Group",1
"Nashville Skiing Meetup","PROVIDENT LIVING & SELF-RELIANCE",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Nashville Christian Technologists and Entrepreneurs",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Stepping Out Social Dance Meetup",2
"Middle Tennessee Entrepreneurs MasterMind Meetup","Wellness Nashville",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Bellevue Business Networking Meetup",2
"Middle Tennessee Entrepreneurs MasterMind Meetup","Network Middle Tennessee",5
"Middle Tennessee Entrepreneurs MasterMind Meetup","Middle Tennessee Motorcycle Riders",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","WordPress Nashville",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Nashville Shambhala Meditation Group",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Greater Nashville Networking Group",2
"Middle Tennessee Entrepreneurs MasterMind Meetup","Developer Launchpad Nashville",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","The Nashville Chinese Language and Culture Meetup Group",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Let's Talk Franklin Toastmasters Club",2
"Middle Tennessee Entrepreneurs MasterMind Meetup","Eat Love Nash",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Paid To Speak Entrepreneurs",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Tennessee Real Estate Investors Meetup",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Nashville Network After Work - Business Networking Events",2
"Middle Tennessee Entrepreneurs MasterMind Meetup","Nashville Hiking Meetup",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Full-Stack Marketing Mastermind",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Nashville's Society of Women Business Owners (SOWBO)",5
"Middle Tennessee Entrepreneurs MasterMind Meetup","Nashville Modern Excel & Power BI User Group",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Nashville Networking Business Luncheon",6
"Middle Tennessee Entrepreneurs MasterMind Meetup","Nashville Bloggers",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Nashville Locals",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Franklin AM - Networking",3
"Middle Tennessee Entrepreneurs MasterMind Meetup","Brentwood - Grow Your Business In Tennessee",2
"Middle Tennessee Entrepreneurs MasterMind Meetup","Nashville Software Beginners",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Code for Nashville",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Franklin Small Business Digital Media Marketing Meetup",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","The Nashville Songwriters Meetup Group",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Women's  Business Network",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Nashville Entrepreneurs Network",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Nashville SEO & Internet Marketing, Over 1,600 Members!",3
"Middle Tennessee Entrepreneurs MasterMind Meetup","The Iron Yard - Nashville",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","SCORE Nashville Events, Networking and Workshops",3
"Middle Tennessee Entrepreneurs MasterMind Meetup","WomanSpeak, Nashville Circles",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Mastermind Business Networkers",4
"Middle Tennessee Entrepreneurs MasterMind Meetup","GREEN Investment Club, Nashville",2
"Middle Tennessee Entrepreneurs MasterMind Meetup","Nashville Psychic Meetup",2
"Middle Tennessee Entrepreneurs MasterMind Meetup","NashBI",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Nashville Amazon Sellers",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Design Thinking Nashville",2
"Middle Tennessee Entrepreneurs MasterMind Meetup","Nashville Investment Angels",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Aussies in Nashville",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","WOMEN ""Word of Mouth Entrepreneurial Networkers""",3
"Middle Tennessee Entrepreneurs MasterMind Meetup","Franklin Developer Lunch & Learn",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Nashville Podcasters",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Business Connections Networking Group",2
"Middle Tennessee Entrepreneurs MasterMind Meetup","NASHVILLE REIKI & OILS",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Nashville Holistic Association",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Serial Tanks Meetup",1
"Middle Tennessee Entrepreneurs MasterMind Meetup","Women 'n' Wine of Nashville",1
"NASHVILLE REIKI & OILS","Stepping Out Social Dance Meetup",1
"NASHVILLE REIKI & OILS","Franklin Reiki",1
"NASHVILLE REIKI & OILS","Wellness Nashville",3
"NASHVILLE REIKI & OILS","Vegan Food & Friends",2
"NASHVILLE REIKI & OILS","The Middle TN Alternative Health Meetup Group",11
"NASHVILLE REIKI & OILS","Nashville Shambhala Meditation Group",2
"NASHVILLE REIKI & OILS","Nashville Science Fiction Book Club",1
"NASHVILLE REIKI & OILS","Eat Love Nash",1
"NASHVILLE REIKI & OILS","Volunteer Nashville",1
"NASHVILLE REIKI & OILS","Franklin Books and Discussion Meetup",1
"NASHVILLE REIKI & OILS","Nashville Networking Business Luncheon",1
"NASHVILLE REIKI & OILS","Lesbians in the Workplace, Nashville",1
"NASHVILLE REIKI & OILS","Fun Happenings Social Group-Nashvilles Most Fun Social Group",1
"NASHVILLE REIKI & OILS","Franklin AM - Networking",1
"NASHVILLE REIKI & OILS","Spiritual Psychology and Consciousness Group",4
"NASHVILLE REIKI & OILS","What the Pho!",1
"NASHVILLE REIKI & OILS","Nashville soccer",1
"NASHVILLE REIKI & OILS","Nashville Holistic Association",2
"NASHVILLE REIKI & OILS","The Iron Yard - Nashville",1
"NASHVILLE REIKI & OILS","Nashville Alternative Health & Wellness",9
"NASHVILLE REIKI & OILS","WomanSpeak, Nashville Circles",1
"NASHVILLE REIKI & OILS","Nashville Psychic Meetup",10
"NASHVILLE REIKI & OILS","Design Thinking Nashville",1
"NASHVILLE REIKI & OILS","Thinking Christians Book Club",1
"NASHVILLE REIKI & OILS","All Things Gardening",1
"NASHVILLE REIKI & OILS","Conscious Transformation - Nashville",1
"NASHVILLE REIKI & OILS","Oneness Nashville",1
"Piano Music Lovers of Nashville","Nashville Christian Technologists and Entrepreneurs",1
"Piano Music Lovers of Nashville","Let's Talk Franklin Toastmasters Club",1
"Piano Music Lovers of Nashville","Nashville Hiking Meetup",1
"Piano Music Lovers of Nashville","Nashville Modern Excel & Power BI User Group",1
"Piano Music Lovers of Nashville","PyNash",1
"Piano Music Lovers of Nashville","Brentwood - Grow Your Business In Tennessee",1
"Piano Music Lovers of Nashville","Nashville Software Beginners",1
"Piano Music Lovers of Nashville","What the Pho!",1
"Piano Music Lovers of Nashville","Code for Nashville",1
"Piano Music Lovers of Nashville","Nashville SEO & Internet Marketing, Over 1,600 Members!",1
"Piano Music Lovers of Nashville","All Things Angular",1
"Piano Music Lovers of Nashville","NashBI",1
"Piano Music Lovers of Nashville","Data Science Nashville",1
"Piano Music Lovers of Nashville","Nashville Mobile Developers",1
"Piano Music Lovers of Nashville","WOMEN ""Word of Mouth Entrepreneurial Networkers""",1
"Piano Music Lovers of Nashville","Franklin Developer Lunch & Learn",1
"Piano Music Lovers of Nashville","Board Game Lovers Meetup",1
"Piano Music Lovers of Nashville","Nashville Electronic Music & Synthesizer Meetup",2
"Piano Music Lovers of Nashville","Advanced Audio + Applications Exchange (A3E) - Nashville",1
"Piano Music Lovers of Nashville","NashJS",1
"Piano Music Lovers of Nashville","Nashville Music Programmers",2
"Nashville Backpacker Meetup","Nashville Vipassana Meditation Meetup",1
"Nashville Backpacker Meetup","Middle Tennessee Hiking Meetup",9
"Nashville Backpacker Meetup","Maintaining Your Balance",1
"Nashville Backpacker Meetup","Stepping Out Social Dance Meetup",2
"Nashville Backpacker Meetup","Middle Tennessee Motorcycle Riders",1
"Nashville Backpacker Meetup","WordPress Nashville",1
"Nashville Backpacker Meetup","The Nashville Chinese Language and Culture Meetup Group",1
"Nashville Backpacker Meetup","Let's Talk Franklin Toastmasters Club",1
"Nashville Backpacker Meetup","Tails of the Trail",4
"Nashville Backpacker Meetup","Nashville PHP User Group",1
"Nashville Backpacker Meetup","PROVIDENT LIVING & SELF-RELIANCE",1
"Nashville Backpacker Meetup","Nashville Hiking Meetup",17
"Nashville Backpacker Meetup","Nashville 80s Music & More Meetup",1
"Nashville Backpacker Meetup","Events of the Camera Club Council of Tennessee",1
"Nashville Backpacker Meetup","Nashville Modern Excel & Power BI User Group",2
"Nashville Backpacker Meetup","The Joy of Dining Out with Friends Meetup",1
"Nashville Backpacker Meetup","Nashville LGBT Game Night Meetup",1
"Nashville Backpacker Meetup","PyNash",1
"Nashville Backpacker Meetup","Fun Happenings Social Group-Nashvilles Most Fun Social Group",2
"Nashville Backpacker Meetup","Franklin AM - Networking",1
"Nashville Backpacker Meetup","Intellectual Society of Greater Nashville",1
"Nashville Backpacker Meetup","Big East Fork Hiking & Breakfast Club",1
"Nashville Backpacker Meetup","Brentwood - Grow Your Business In Tennessee",1
"Nashville Backpacker Meetup","Paddle Adventures Unlimited",11
"Nashville Backpacker Meetup","Nashville Kayak Lessons",2
"Nashville Backpacker Meetup","Nashville Pilgrimage Hiking & Walking Meetup Group",2
"Nashville Backpacker Meetup","Nashville Rock Climbing MeetUP",3
"Nashville Backpacker Meetup","What the Pho!",5
"Nashville Backpacker Meetup","Transplant Nashville",1
"Nashville Backpacker Meetup","Explorer Chicks of Nashville: Adventure Awaits!",1
"Nashville Backpacker Meetup","R-Ladies Nashville",1
"Nashville Backpacker Meetup","Agile Nashville User Group",1
"Nashville Backpacker Meetup","Data Science Nashville",2
"Nashville Backpacker Meetup","Design Thinking Nashville",1
"Nashville Backpacker Meetup","Bellevue Free Mandarin/Korean Lessons Meetup",1
"Nashville Backpacker Meetup","All Things Gardening",1
"Nashville Backpacker Meetup","Franklin Developer Lunch & Learn",1
"Nashville Backpacker Meetup","Board Game Lovers Meetup",1
"Nashville Backpacker Meetup","Nashville Amazon Web Services User Group",1
"Nashville Backpacker Meetup","Team Green Adventures",8
"Nashville Backpacker Meetup","Couples New 2 Nashville & Know (almost) NoOne.  Ages 40 & Up",1
"Nashville Backpacker Meetup","Make Nashville Meetup",1
"Nashville Backpacker Meetup","Nashville Product Meetup",1
"Nashville Backpacker Meetup","Women 'n' Wine of Nashville",1
"Nashville Wanderlusters","What the Pho!",1
"Amway Business Opportunity Info Session","Nashville Young Professionals Meetup",1
"Amway Business Opportunity Info Session","Music City Young Professionals",1
"Amway Business Opportunity Info Session","Nashville soccer",1
"Amway Business Opportunity Info Session","¡Diablos Que Bailan! (Salsa Nashville)",1
"Amway Business Opportunity Info Session","Brentwood - Grow Your Business In Tennessee",1
"Hendersonville Area Active/Outdoor Lifestyle","Nashville Hiking Meetup",2
"Hendersonville Area Active/Outdoor Lifestyle","Hendersonville Hiking Meetup",1
"Tails of the Trail","Nashville Walking Women",1
"Tails of the Trail","The Nashville Girly Book Club",2
"Tails of the Trail","Nashville Shambhala Meditation Group",1
"Tails of the Trail","Eat Love Nash",7
"Tails of the Trail","Nashville Quantum Energy Play Group",1
"Tails of the Trail","Paid To Speak Entrepreneurs",1
"Tails of the Trail","MHO Nashville Active Adventures",1
"Tails of the Trail","Nashville Hiking Meetup",10
"Tails of the Trail","Nashville 80s Music & More Meetup",1
"Tails of the Trail","Volunteer Nashville",1
"Tails of the Trail","Lesbians in the Workplace, Nashville",2
"Tails of the Trail","Fun Happenings Social Group-Nashvilles Most Fun Social Group",1
"Tails of the Trail","Nashville Software Beginners",1
"Tails of the Trail","Paddle Adventures Unlimited",2
"Tails of the Trail","Nashville Kayak Lessons",1
"Tails of the Trail","Nashville Rock Climbing MeetUP",1
"Tails of the Trail","Women's  Business Network",2
"Tails of the Trail","Green Hills Stampin' and Scrapbooking Meetup",1
"Tails of the Trail","Transplant Nashville",7
"Tails of the Trail","Chicago Cubs, Blackhawks and Bears Fans near Nashville",3
"Tails of the Trail","The Iron Yard - Nashville",1
"Tails of the Trail","Real Estate Investors of Nashville Meetup Group",1
"Tails of the Trail","Nashville UX",1
"Tails of the Trail","Nashville Psychic Meetup",1
"Tails of the Trail","Mid-TN Scrapbooking Club",1
"Tails of the Trail","Data Science Nashville",1
"Tails of the Trail","NashDash Dating!",1
"Tails of the Trail","WOMEN ""Word of Mouth Entrepreneurial Networkers""",3
"Tails of the Trail","East Nashville Daytime Basketball",1
"Tails of the Trail","Nashville Young Professionals Meetup",4
"Tails of the Trail","Middle Tennessee Hiking Meetup",2
"Tails of the Trail","Women & Horses",2
"Tails of the Trail","Stepping Out Social Dance Meetup",4
"Tails of the Trail","Bellevue Business Networking Meetup",1
"Tails of the Trail","The Nashville Chinese Language and Culture Meetup Group",1
"Tails of the Trail","Nashville Wiener Romp",2
"Tails of the Trail","Events of the Camera Club Council of Tennessee",1
"Tails of the Trail","Franklin Books and Discussion Meetup",1
"Tails of the Trail","Nashville Networking Business Luncheon",1
"Tails of the Trail","The Joy of Dining Out with Friends Meetup",5
"Tails of the Trail","The Warner Trail Runners",1
"Tails of the Trail","Outdoor Fit - HIIT",2
"Tails of the Trail","PyNash",1
"Tails of the Trail","Franklin AM - Networking",1
"Tails of the Trail","What the Pho!",7
"Tails of the Trail","Nashville soccer",1
"Tails of the Trail","All Things Angular",1
"Tails of the Trail","Nashville Ladies Volunteering and Having Fun",4
"Tails of the Trail","Drink-n-Draw",1
"Tails of the Trail","Nashville Women Programmers",1
"Tails of the Trail","Random Nashville Fun",1
"Tails of the Trail","Thrifting Nashville Meetup",1
"Tails of the Trail","Franklin Developer Lunch & Learn",1
"Tails of the Trail","Christian Business Leaders Roundtable | CEO Fellowship",1
"Tails of the Trail","Nashville Amazon Web Services User Group",1
"Tails of the Trail","CityWalks",1
"Tails of the Trail","Team Green Adventures",6
"Tails of the Trail","Couples New 2 Nashville & Know (almost) NoOne.  Ages 40 & Up",2
"Tails of the Trail","Stand Up Paddle Boarding in Nashville TN.",1
"Tails of the Trail","Movie Lovers:  New, Classic, and Foreign Films Meetup",3
"Tails of the Trail","NashJS",1
"Tails of the Trail","Williamson County Republican Party",1
"Tails of the Trail","Nashville Animal Advocacy",1
"MHO Nashville Active Adventures","Nashville Pilgrimage Hiking & Walking Meetup Group",1
"MHO Nashville Active Adventures","Nashville Hiking Meetup",1
"Nashville Cloudera User Group","Nashville Modern Excel & Power BI User Group",1
"Nashville Cloudera User Group","Nashville Amazon Web Services User Group",1
"Nashville Cloudera User Group","PyNash",2
"Nashville Cloudera User Group","Data Science Nashville",2
"Nashville Spiritual Experiences Group","Nashville Charismatic Liberals",1
"Nashville Spiritual Experiences Group","Nashville Faith & Skepticism Meetup",1
"Nashville Spiritual Experiences Group","Circle Bliss ~ Nashville ~ Energy Healing ~ Ataana Method",1
"Nashville Spiritual Experiences Group","Nashville Christian Universalists",1
"Nashville Spiritual Experiences Group","WordPress Nashville",1
"Nashville Spiritual Experiences Group","Nashville Psychic Meetup",2
"Nashville Spiritual Experiences Group","Intellectual Society of Greater Nashville",1
"Nashville Spiritual Experiences Group","Transition Nashville",1
"T-VOE: Tennessee Voice Over Exchange","What the Pho!",1
"T-VOE: Tennessee Voice Over Exchange","The Nashville Songwriters Meetup Group",1
"T-VOE: Tennessee Voice Over Exchange","Stepping Out Social Dance Meetup",1
"T-VOE: Tennessee Voice Over Exchange","Nashville SEO & Internet Marketing, Over 1,600 Members!",1
"T-VOE: Tennessee Voice Over Exchange","Mastermind Business Networkers",1
"T-VOE: Tennessee Voice Over Exchange","Eat Love Nash",1
"T-VOE: Tennessee Voice Over Exchange","Nashville's Society of Women Business Owners (SOWBO)",1
"T-VOE: Tennessee Voice Over Exchange","Nashville Game Developers",1
"T-VOE: Tennessee Voice Over Exchange","All Things Gardening",1
"T-VOE: Tennessee Voice Over Exchange","Board Game Lovers Meetup",1
"T-VOE: Tennessee Voice Over Exchange","Lesbians in the Workplace, Nashville",1
"T-VOE: Tennessee Voice Over Exchange","Movie Lovers:  New, Classic, and Foreign Films Meetup",2
"Nashville 80s Music & More Meetup","Nashville Young Professionals Meetup",1
"Nashville 80s Music & More Meetup","Middle Tennessee Hiking Meetup",1
"Nashville 80s Music & More Meetup","Stepping Out Social Dance Meetup",9
"Nashville 80s Music & More Meetup","Eat Love Nash",3
"Nashville 80s Music & More Meetup","Never Bored in Nashville",1
"Nashville 80s Music & More Meetup","Nashville Hiking Meetup",2
"Nashville 80s Music & More Meetup","What the Pho!",1
"Nashville 80s Music & More Meetup","Nashville Charismatic Liberals",1
"Nashville 80s Music & More Meetup","The Nashville Songwriters Meetup Group",1
"Nashville 80s Music & More Meetup","Nashville Cooking Lessons Meetup",1
"Nashville 80s Music & More Meetup","Nashville Faith & Skepticism Meetup",1
"Nashville 80s Music & More Meetup","Nashville SEO & Internet Marketing, Over 1,600 Members!",1
"Nashville 80s Music & More Meetup","Transplant Nashville",1
"Nashville 80s Music & More Meetup","Nashville Alternative Health & Wellness",1
"Nashville 80s Music & More Meetup","Free & Cheap Events",1
"Nashville 80s Music & More Meetup","Nashville Psychic Meetup",2
"Nashville 80s Music & More Meetup","Nashville Ladies Volunteering and Having Fun",2
"Nashville 80s Music & More Meetup","Beer and Bible Nashville",1
"Nashville 80s Music & More Meetup","Nashville English Language Learning Meetup",1
"Nashville 80s Music & More Meetup","NashDash Dating!",1
"Nashville 80s Music & More Meetup","Nashville Chess and Chat Meetup",1
"Nashville 80s Music & More Meetup","Random Nashville Fun",1
"Nashville 80s Music & More Meetup","Bellevue Free Mandarin/Korean Lessons Meetup",1
"Nashville 80s Music & More Meetup","WOMEN ""Word of Mouth Entrepreneurial Networkers""",2
"Nashville 80s Music & More Meetup","Music City Jazz Fans",1
"Nashville 80s Music & More Meetup","Advanced Audio + Applications Exchange (A3E) - Nashville",1
"Nashville 80s Music & More Meetup","Nashville Christian Universalists",1
"Nashville 80s Music & More Meetup","Team Green Adventures",2
"Nashville 80s Music & More Meetup","Couples New 2 Nashville & Know (almost) NoOne.  Ages 40 & Up",1
"Nashville 80s Music & More Meetup","Nashville Purely Social and Super-Awesome Social Group",1
"Nashville Virtual Reality Meetup","Nash.rb",1
"Nashville Virtual Reality Meetup","State & Local Government Developers Network",2
"Nashville Virtual Reality Meetup","WordPress Nashville",4
"Nashville Virtual Reality Meetup","Nashville Real Estate Investor Network",1
"Nashville Virtual Reality Meetup","Nashville Modern Excel & Power BI User Group",1
"Nashville Virtual Reality Meetup","Nashville .NET User Group",3
"Nashville Virtual Reality Meetup","Intellectual Society of Greater Nashville",1
"Nashville Virtual Reality Meetup","Nashville Software Beginners",1
"Nashville Virtual Reality Meetup","Paddle Adventures Unlimited",1
"Nashville Virtual Reality Meetup","Brentwood Artificial Intelligence Meetup",2
"Nashville Virtual Reality Meetup","Nashville Artificial Intelligence Society",1
"Nashville Virtual Reality Meetup","Franklin Small Business Digital Media Marketing Meetup",1
"Nashville Virtual Reality Meetup","The Nashville Songwriters Meetup Group",1
"Nashville Virtual Reality Meetup","Nashville SEO & Internet Marketing, Over 1,600 Members!",4
"Nashville Virtual Reality Meetup","The Iron Yard - Nashville",2
"Nashville Virtual Reality Meetup","Real Estate Investors of Nashville Meetup Group",1
"Nashville Virtual Reality Meetup","ONA Nashville",1
"Nashville Virtual Reality Meetup","Nashville UX",6
"Nashville Virtual Reality Meetup","Nashville English Language Learning Meetup",1
"Nashville Virtual Reality Meetup","Data Science Nashville",1
"Nashville Virtual Reality Meetup","Nashville Mobile Developers",5
"Nashville Virtual Reality Meetup","Design Thinking Nashville",2
"Nashville Virtual Reality Meetup","Nashville Game Developers",6
"Nashville Virtual Reality Meetup","Nashville Machine Learning Meetup",2
"Nashville Virtual Reality Meetup","Nashville Flag Football",1
"Nashville Virtual Reality Meetup","Make Nashville Meetup",2
"Nashville Virtual Reality Meetup","Nashville Product Meetup",5
"Nashville Virtual Reality Meetup","Serial Tanks Meetup",1
"Nashville Virtual Reality Meetup","Stepping Out Social Dance Meetup",1
"Nashville Virtual Reality Meetup","Tennessee Americans United for Separation of Church & State",1
"Nashville Virtual Reality Meetup","Nashville PHP User Group",2
"Nashville Virtual Reality Meetup","Tennessee Real Estate Investors Meetup",1
"Nashville Virtual Reality Meetup","Nashville Docker Meetup",1
"Nashville Virtual Reality Meetup","Nashville Mobile .NET Developers",2
"Nashville Virtual Reality Meetup","Nashville API Developers",1
"Nashville Virtual Reality Meetup","Nashville Java Users' Group",1
"Nashville Virtual Reality Meetup","What the Pho!",1
"Nashville Virtual Reality Meetup","Code for Nashville",4
"Nashville Virtual Reality Meetup","Nashville Linux Users Group",1
"Nashville Virtual Reality Meetup","All Things Angular",1
"Nashville Virtual Reality Meetup","Nashville PowerShell User Group (NashPUG)",1
"Nashville Virtual Reality Meetup","NashMicro - The Nashville Microcontroller Makers Group",3
"Nashville Virtual Reality Meetup","Agile Nashville User Group",1
"Nashville Virtual Reality Meetup","Nashville Women Programmers",1
"Nashville Virtual Reality Meetup","Thinking Christians Book Club",1
"Nashville Virtual Reality Meetup","Franklin Developer Lunch & Learn",3
"Nashville Virtual Reality Meetup","Nashville Amazon Web Services User Group",1
"Nashville Virtual Reality Meetup","NashJS",4
"Nashville Virtual Reality Meetup","Nashville Music Programmers",4
"Nashville Modern Excel & Power BI User Group","Nash.rb",1
"Nashville Modern Excel & Power BI User Group","State & Local Government Developers Network",1
"Nashville Modern Excel & Power BI User Group","WordPress Nashville",3
"Nashville Modern Excel & Power BI User Group","freeCodeCamp Nashville",1
"Nashville Modern Excel & Power BI User Group","Savvy Coders - Nashville",2
"Nashville Modern Excel & Power BI User Group","Eat Love Nash",3
"Nashville Modern Excel & Power BI User Group","Let's Talk Franklin Toastmasters Club",1
"Nashville Modern Excel & Power BI User Group","Nashville Hiking Meetup",1
"Nashville Modern Excel & Power BI User Group","Nashville .NET User Group",6
"Nashville Modern Excel & Power BI User Group","Fun Happenings Social Group-Nashvilles Most Fun Social Group",1
"Nashville Modern Excel & Power BI User Group","Nashville Software Beginners",2
"Nashville Modern Excel & Power BI User Group","Paddle Adventures Unlimited",1
"Nashville Modern Excel & Power BI User Group","Spiritual Psychology and Consciousness Group",1
"Nashville Modern Excel & Power BI User Group","Brentwood Artificial Intelligence Meetup",1
"Nashville Modern Excel & Power BI User Group","Nashville Artificial Intelligence Society",1
"Nashville Modern Excel & Power BI User Group","Nashville SEO & Internet Marketing, Over 1,600 Members!",3
"Nashville Modern Excel & Power BI User Group","Nashville Conda, R, Julia Users Group",1
"Nashville Modern Excel & Power BI User Group","Transplant Nashville",1
"Nashville Modern Excel & Power BI User Group","The Iron Yard - Nashville",12
"Nashville Modern Excel & Power BI User Group","R-Ladies Nashville",2
"Nashville Modern Excel & Power BI User Group","SCORE Nashville Events, Networking and Workshops",1
"Nashville Modern Excel & Power BI User Group","Nashville UX",5
"Nashville Modern Excel & Power BI User Group","Nashville Psychic Meetup",1
"Nashville Modern Excel & Power BI User Group","Data Science Nashville",19
"Nashville Modern Excel & Power BI User Group","Nashville Mobile Developers",4
"Nashville Modern Excel & Power BI User Group","Nashville Machine Learning Meetup",1
"Nashville Modern Excel & Power BI User Group","Design Thinking Nashville",3
"Nashville Modern Excel & Power BI User Group","The Nashville TENNISseans",1
"Nashville Modern Excel & Power BI User Group","the New World is in Order!",1
"Nashville Modern Excel & Power BI User Group","Make Nashville Meetup",1
"Nashville Modern Excel & Power BI User Group","Sahaja Yoga Meditation - Nashville",1
"Nashville Modern Excel & Power BI User Group","Nashville Product Meetup",6
"Nashville Modern Excel & Power BI User Group","Stepping Out Social Dance Meetup",1
"Nashville Modern Excel & Power BI User Group","Bellevue Business Networking Meetup",1
"Nashville Modern Excel & Power BI User Group","Greater Nashville Networking Group",1
"Nashville Modern Excel & Power BI User Group","Developer Launchpad Nashville",1
"Nashville Modern Excel & Power BI User Group","Nashville Docker Meetup",1
"Nashville Modern Excel & Power BI User Group","Nashville Networking Business Luncheon",1
"Nashville Modern Excel & Power BI User Group","The Joy of Dining Out with Friends Meetup",2
"Nashville Modern Excel & Power BI User Group","Nashville API Developers",1
"Nashville Modern Excel & Power BI User Group","Nashville Salesforce Admins & Developers Group",4
"Nashville Modern Excel & Power BI User Group","PyNash",6
"Nashville Modern Excel & Power BI User Group","Nashville Tennis Meetup",1
"Nashville Modern Excel & Power BI User Group","Nashville Pilgrimage Hiking & Walking Meetup Group",1
"Nashville Modern Excel & Power BI User Group","Nashville Java Users' Group",1
"Nashville Modern Excel & Power BI User Group","What the Pho!",2
"Nashville Modern Excel & Power BI User Group","Code for Nashville",4
"Nashville Modern Excel & Power BI User Group","Nashville soccer",1
"Nashville Modern Excel & Power BI User Group","Nashville Entrepreneurs Network",1
"Nashville Modern Excel & Power BI User Group","20&UP Tennis: Nashville",1
"Nashville Modern Excel & Power BI User Group","All Things Angular",1
"Nashville Modern Excel & Power BI User Group","Nashville PowerShell User Group (NashPUG)",2
"Nashville Modern Excel & Power BI User Group","Mastermind Business Networkers",1
"Nashville Modern Excel & Power BI User Group","Agile Nashville User Group",7
"Nashville Modern Excel & Power BI User Group","NashMicro - The Nashville Microcontroller Makers Group",4
"Nashville Modern Excel & Power BI User Group","NashBI",21
"Nashville Modern Excel & Power BI User Group","Nashville Women Programmers",1
"Nashville Modern Excel & Power BI User Group","Franklin Developer Lunch & Learn",3
"Nashville Modern Excel & Power BI User Group","Board Game Lovers Meetup",1
"Nashville Modern Excel & Power BI User Group","Christian Business Leaders Roundtable | CEO Fellowship",1
"Nashville Modern Excel & Power BI User Group","Nashville Amazon Web Services User Group",1
"Nashville Modern Excel & Power BI User Group","Team Green Adventures",1
"Nashville Modern Excel & Power BI User Group","NashJS",2
"Nashville Modern Excel & Power BI User Group","Narrowcasting Your Passion",1
"Nashville Modern Excel & Power BI User Group","Women 'n' Wine of Nashville",1
"Lesbians in the Workplace, Nashville","Nash.rb",1
"Lesbians in the Workplace, Nashville","Middle Tennessee Hiking Meetup",1
"Lesbians in the Workplace, Nashville","Franklin Reiki",1
"Lesbians in the Workplace, Nashville","WordPress Nashville",1
"Lesbians in the Workplace, Nashville","Nashville Shambhala Meditation Group",1
"Lesbians in the Workplace, Nashville","Developer Launchpad Nashville",2
"Lesbians in the Workplace, Nashville","Savvy Coders - Nashville",1
"Lesbians in the Workplace, Nashville","Eat Love Nash",1
"Lesbians in the Workplace, Nashville","The Joy of Dining Out with Friends Meetup",1
"Lesbians in the Workplace, Nashville","Franklin AM - Networking",1
"Lesbians in the Workplace, Nashville","Nashville Software Beginners",1
"Lesbians in the Workplace, Nashville","Nashville Kayak Lessons",1
"Lesbians in the Workplace, Nashville","Code for Nashville",1
"Lesbians in the Workplace, Nashville","The Nashville Songwriters Meetup Group",1
"Lesbians in the Workplace, Nashville","Transplant Nashville",2
"Lesbians in the Workplace, Nashville","The Iron Yard - Nashville",1
"Lesbians in the Workplace, Nashville","Free & Cheap Events",1
"Lesbians in the Workplace, Nashville","Nashville UX",1
"Lesbians in the Workplace, Nashville","Nashville Ladies Volunteering and Having Fun",1
"Lesbians in the Workplace, Nashville","Nashville Women Programmers",2
"Lesbians in the Workplace, Nashville","Urban League Young Professionals of Middle Tennessee",1
"Lesbians in the Workplace, Nashville","Music City Jazz Fans",1
"Lesbians in the Workplace, Nashville","¡Diablos Que Bailan! (Salsa Nashville)",1
